setname,name,region,version,alternative,parent_title,platform,series,homebrew,bootleg,year,manufacturer,category,linebreak1,resolution,rotation,flip,linebreak2,players,move_inputs,special_controls,num_buttons
xmvsfa,"X-Men Vs. Street Fighter (AS, 961023)",Asia,961023,yes,X-Men Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmvsfar1,"X-Men Vs. Street Fighter (AS, 961004)",Asia,961004,yes,X-Men Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmvsfar2,"X-Men Vs. Street Fighter (AS, 960919)",Asia,960919,yes,X-Men Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmvsfar3,"X-Men Vs. Street Fighter (AS, 960910)",Asia,960910,yes,X-Men Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmvsfb,"X-Men Vs. Street Fighter (W, 961023)",World,961023,yes,X-Men Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmvsfh,"X-Men Vs. Street Fighter (HS, 961004)",Hispanic,961004,yes,X-Men Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmvsfj,"X-Men Vs. Street Fighter (JP, 961023)",Japan,961023,yes,X-Men Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmvsfjr1,"X-Men Vs. Street Fighter (JP, 961004)",Japan,961004,yes,X-Men Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmvsfjr2,"X-Men Vs. Street Fighter (JP, 960910)",Japan,960910,yes,X-Men Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmvsfjr3,"X-Men Vs. Street Fighter (JP, 960909)",Japan,960909,yes,X-Men Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmvsfr1,"X-Men Vs. Street Fighter (EU, 960910)",Europe,960910,yes,X-Men Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmvsfu,"X-Men Vs. Street Fighter (US, 961023)",USA,961023,yes,X-Men Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmvsfur1,"X-Men Vs. Street Fighter (US, 961004)",USA,961004,yes,X-Men Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmvsfur2,"X-Men Vs. Street Fighter (US, 960910)",USA,960910,yes,X-Men Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
