setname,name,region,version,alternative,parent_title,platform,series,homebrew,bootleg,year,manufacturer,category,linebreak1,resolution,rotation,flip,linebreak2,players,move_inputs,special_controls,num_buttons
sfza,"Street Fighter Zero (AS, 950627)",Asia,950627,yes,Street Fighter Zero,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfzar1,"Street Fighter Zero (AS, 950605)",Asia,950605,yes,Street Fighter Zero,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfzb,"Street Fighter Zero (W, 951109)",World,951109,yes,Street Fighter Zero,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfzbch,"Street Fighter Zero (BR, CPS Changer, 950727)",Brazil,"CPS Changer, 950727",yes,Street Fighter Zero,Capcom CPS-1,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sfzbr1,"Street Fighter Zero (W, 950727)",World,950727,yes,Street Fighter Zero,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfzch,"Street Fighter Zero (JP, CPS Changer, 951020)",Japan,"CPS Changer, 951020",yes,Street Fighter Zero,Capcom CPS-1,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sfzch_cps15,Street Fighter Zero (CPS 1.5 Qsound) [hb],,CPS 1.5 Qsound,yes,Street Fighter Zero,Capcom CPS-1.5,Street Fighter,yes,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sfzh,"Street Fighter Zero (HS, 950718)",Hispanic,950718,yes,Street Fighter Zero,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfzhr1,"Street Fighter Zero (HS, 950627)",Hispanic,950627,yes,Street Fighter Zero,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfzj,"Street Fighter Zero (JP, 950727, Unlocked)",Japan,"950727, Unlocked",yes,Street Fighter Zero,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfzj,"Street Fighter Zero (JP, 950727)",Japan,950727,yes,Street Fighter Zero,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfzjr1,"Street Fighter Zero (JP, 950627)",Japan,950627,yes,Street Fighter Zero,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfzjr2,"Street Fighter Zero (JP, 950605)",Japan,950605,yes,Street Fighter Zero,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sgemf,"Super Gem Fighter- Mini Mix (US, 970904)",USA,970904,no,,Capcom CPS-2,Street Fighter,no,no,1997,Capcom,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,3
sgemfa,"Super Gem Fighter- Mini Mix (AS, 970904)",Asia,970904,yes,Super Gem Fighter- Mini Mix,Capcom CPS-2,Street Fighter,no,no,1997,Capcom,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,3
sgemfh,"Super Gem Fighter- Mini Mix (HS, 970904)",Hispanic,970904,yes,Super Gem Fighter- Mini Mix,Capcom CPS-2,Street Fighter,no,no,1997,Capcom,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,3
shinobi,"Shinobi (W, S16B Set 5)",World,"S16B, Set 5",yes,Shinobi,Sega System 16B,Shinobi,no,no,1987,Sega,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,3
shinobi,"Shinobi (W, Set 6)",World,"Set 6, No Protection",no,,Sega System 16A,Shinobi,no,no,1987,Sega,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,3
shinobi1,"Shinobi (W, S16B Set 1)",World,"S16B, Set 1",yes,Shinobi,Sega System 16B,Shinobi,no,no,1987,Sega,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,3
shinobi2,"Shinobi (W, S16B Set 2)",World,"S16B, Set 2",yes,Shinobi,Sega System 16B,Shinobi,no,no,1987,Sega,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,3
shinobi6,"Shinobi (W, S16B Set 6)",World,"S16B, Set 6",yes,Shinobi,Sega System 16B,Shinobi,no,no,1987,Sega,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,3
sidearms,"Side Arms- Hyper Dyne (W, 861129)",World,861129,no,,,,no,no,1986,Capcom,Shooter - Horizontal,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
