setname,name,name_notnice,region,version,alternative,parent_title,platform,series,homebrew,bootleg,year,manufacturer,category,linebreak1,resolution,rotation,flip,linebreak2,players,joystick,special_controls,buttons
mvscj,"Marvel Vs. Capcom- Clash of Super Heroes (JP, 980123)",Marvel Vs. Capcom Clash of Super Heroes (Japan 980123),Japan,980123,yes,Marvel Vs. Capcom- Clash of Super Heroes,Capcom CPS-2,Marvel / Capcom,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mvscjr1,"Marvel Vs. Capcom- Clash of Super Heroes (JP, 980112, Onslaught Edition) [hb]",Marvel Vs. Capcom Clash of Super Heroes (Japan 980112) [Onslaught Edition],Japan,"980112, Onslaught Edition",yes,Marvel Vs. Capcom- Clash of Super Heroes,Capcom CPS-2,Marvel / Capcom,yes,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mvscjr1,"Marvel Vs. Capcom- Clash of Super Heroes (JP, 980112)",Marvel Vs. Capcom Clash of Super Heroes (Japan 980112),Japan,980112,yes,Marvel Vs. Capcom- Clash of Super Heroes,Capcom CPS-2,Marvel / Capcom,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mvscjr1,"Marvel Vs. Capcom- Clash of Super Heroes (JP, 980112) [hb]",Marvel Vs. Capcom Clash of Super Heroes (USA 980112) [Onslaught Edition],Japan,980112,yes,Marvel Vs. Capcom- Clash of Super Heroes,Capcom CPS-2,Marvel / Capcom,yes,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mvscjsing,"Marvel Vs. Capcom- Clash of Super Heroes (JP, 980123, Single PCB)",Marvel Vs. Capcom Clash of Super Heroes (Japan 980123) (Single PCB),Japan,"980123, Single PCB",yes,Marvel Vs. Capcom- Clash of Super Heroes,Capcom CPS-2,Marvel / Capcom,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mvscr1,"Marvel Vs. Capcom- Clash of Super Heroes (EU, 980112)",Marvel Vs. Capcom Clash of Super Heroes (Euro 980112),Europe,980112,yes,Marvel Vs. Capcom- Clash of Super Heroes,Capcom CPS-2,Marvel / Capcom,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mvscu,"Marvel Vs. Capcom- Clash of Super Heroes (US, 980123, Unlocked)",Marvel Vs. Capcom Clash of Super Heroes (USA 980123) [Unlocked],USA,"980123, Unlocked",yes,Marvel Vs. Capcom- Clash of Super Heroes,Capcom CPS-2,Marvel / Capcom,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mvscu,"Marvel Vs. Capcom- Clash of Super Heroes (US, 980123)",Marvel Vs. Capcom Clash of Super Heroes (USA 980123),USA,980123,yes,Marvel Vs. Capcom- Clash of Super Heroes,Capcom CPS-2,Marvel / Capcom,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mvscur1,"Marvel Vs. Capcom- Clash of Super Heroes (US, 971222)",Marvel Vs. Capcom Clash of Super Heroes (USA 971222),USA,971222,yes,Marvel Vs. Capcom- Clash of Super Heroes,Capcom CPS-2,Marvel / Capcom,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
nemo,"Nemo (W, 901130)",Nemo -World 901130-,World,901130,no,,Capcom CPS-1,,no,no,1990,Capcom,Platform,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
nemoj,"Nemo (JP, 901120)",Nemo -Japan 901120-,Japan,901120,yes,Nemo,Capcom CPS-1,,no,no,1990,Capcom,Platform,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
nemor1,"Nemo (W, 901109)",Nemo -World 901109-,World,901109,yes,Nemo,Capcom CPS-1,,no,no,1990,Capcom,Platform,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
nwarr,"Night Warriors- Darkstalkers' Revenge (EU, 950316)",Night Warriors Darkstalkers Revenge (Euro 950316),Europe,950316,no,,Capcom CPS-2,Darkstalkers,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
nwarra,"Night Warriors- Darkstalkers' Revenge (AS, 950302)",Night Warriors Darkstalkers Revenge (Asia 950302),Asia,950302,yes,Night Warriors- Darkstalkers' Revenge,Capcom CPS-2,Darkstalkers,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
nwarrb,"Night Warriors- Darkstalkers' Revenge (W, 950403)",Night Warriors Darkstalkers Revenge (Brazil 950403),World,950403,yes,Night Warriors- Darkstalkers' Revenge,Capcom CPS-2,Darkstalkers,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
nwarrh,"Night Warriors- Darkstalkers' Revenge (HS, 950403)",Night Warriors Darkstalkers Revenge (Hispanic 950403),Hispanic,950403,yes,Night Warriors- Darkstalkers' Revenge,Capcom CPS-2,Darkstalkers,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
nwarru,"Night Warriors- Darkstalkers' Revenge (US, 950406)",Night Warriors Darkstalkers Revenge (USA 950406),USA,950406,yes,Night Warriors- Darkstalkers' Revenge,Capcom CPS-2,Darkstalkers,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
pang3,"Pang! 3 (EU, 950601)",Pang! 3 -Euro 950601-,Europe,950601,no,,Capcom CPS-1,Pang!,no,no,1995,Capcom,Ball and Paddle,,15kHz,horizontal,n/a,,2 (simultaneous),4-way,,1
