setname,name,name_notnice,region,version,alternative,parent_title,platform,series,homebrew,bootleg,year,manufacturer,category,linebreak1,resolution,rotation,flip,linebreak2,players,joystick,special_controls,buttons
sfau,"Street Fighter Alpha- Warriors' Dreams (US, 950627)",Street Fighter Alpha Warriors Dreams (USA 950627),USA,950627,yes,Street Fighter Alpha- Warriors' Dreams,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfj,"Street Fighter (JP, Protected)",Street Fighter (Japan) (protected),Japan,Protected,yes,Street Fighter,Capcom CPS-0,Street Fighter,no,no,1987,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sfjan,"Street Fighter (JP, Pneumatic Buttons)","Street Fighter (Japan, pneumatic buttons)",Japan,Pneumatic Buttons,yes,Street Fighter,Capcom CPS-0,Street Fighter,no,no,1987,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sfjbl,"Street Fighter (JP, bootleg)","Street Fighter (Japan, bootleg)",Japan,bootleg,yes,Street Fighter,Capcom CPS-0,Street Fighter,no,no,1987,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sfp,Street Fighter (Prototype),Street Fighter (prototype),,Prototype,yes,Street Fighter,Capcom CPS-0,Street Fighter,no,no,1987,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sfua,"Street Fighter (US, Protected, Set 2)","Street Fighter (US, set 2) (protected)",USA,"Protected, Set 2",yes,Street Fighter,Capcom CPS-0,Street Fighter,no,no,1987,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sfw,"Street Fighter (W, Protected)",Street Fighter (World) (protected),World,Protected,yes,Street Fighter,Capcom CPS-0,Street Fighter,no,no,1987,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sfz2a,"Street Fighter Zero 2 (AS, 960227)",Street Fighter Zero 2 (Asia 960227),Asia,960227,yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2al,"Street Fighter Zero 2 (AS, 960826)",Street Fighter Zero 2 Alpha (Asia 960826),Asia,960826,yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2al,"Street Fighter Zero 2 Alpha (AS, 960813, Unlocked)",Street Fighter Zero 2 Alpha (USA 960813) [Unlocked],Asia,"960813, Unlocked",yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2al,"Street Fighter Zero 2 Alpha (AS, 960825, Unlocked)",Street Fighter Zero 2 Alpha (Asia 960826) [Unlocked],Asia,"960825, Unlocked",yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2alb,"Street Fighter Zero 2 (W, 960813)",Street Fighter Zero 2 Alpha (Brazil 960813),World,960813,yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2alh,"Street Fighter Zero 2 (HS, 960813)",Street Fighter Zero 2 Alpha (Hispanic 960813),Hispanic,960813,yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2alj,"Street Fighter Zero 2 (JP, 960805)",Street Fighter Zero 2 Alpha (Japan 960805) copy,Japan,960805,yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2alj,"Street Fighter Zero 2 (JP, 960805)",Street Fighter Zero 2 Alpha (Japan 960805),Japan,960805,yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2alj,"Street Fighter Zero 2 Alpha (JP, 960805, Unlocked)",Street Fighter Zero 2 Alpha (Japan 960805) [Unlocked],Japan,"960805, Unlocked",yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2b,"Street Fighter Zero 2 (W, 960531)",Street Fighter Zero 2 (Brazil 960531),World,960531,yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2br1,"Street Fighter Zero 2 (W, 960304)",Street Fighter Zero 2 (Brazil 960304),World,960304,yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2h,"Street Fighter Zero 2 (HS, 960304)",Street Fighter Zero 2 (Hispanic 960304),Hispanic,960304,yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2j,"Street Fighter Zero 2 (JP, 960430)",Street Fighter Zero 2 (Japan 960430),Japan,960430,yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2jr1,"Street Fighter Zero 2 (JP, 960227)",Street Fighter Zero 2 (Japan 960227),Japan,960227,yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2n,"Street Fighter Zero 2 (W, 960229)",Street Fighter Zero 2 (Oceania 960229),World,960229,yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz3a,"Street Fighter Zero 3 (AS, 980904)",Street Fighter Zero 3 (Asia 980904),Asia,980904,yes,Street Fighter Zero 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz3ar1,"Street Fighter Zero 3 (AS, 980701)",Street Fighter Zero 3 (Asia 980701),Asia,980701,yes,Street Fighter Zero 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz3j,"Street Fighter Zero 3 (JP, 980904, Unlocked)",Street Fighter Zero 3 (Japan 980904) [Unlocked],Japan,"980904, Unlocked",yes,Street Fighter Zero 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz3j,"Street Fighter Zero 3 (JP, 980904)",Street Fighter Zero 3 (Japan 980904),Japan,980904,yes,Street Fighter Zero 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz3jr1,"Street Fighter Zero 3 (JP, 980727)",Street Fighter Zero 3 (Japan 980727),Japan,980727,yes,Street Fighter Zero 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz3jr2,"Street Fighter Zero 3 (JP, 980629, Training Edition v1.1) [hb]",Street Fighter Zero 3 (Japan 980629) [Training Edition v1.1],Japan,"980629, Training Edition v1.1",yes,Street Fighter Zero 3,Capcom CPS-2,Street Fighter,yes,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz3jr2,"Street Fighter Zero 3 (JP, 980629)",Street Fighter Zero 3 (Japan 980629),Japan,980629,yes,Street Fighter Zero 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfza,"Street Fighter Zero (AS, 950627)",Street Fighter Zero (Asia 950627),Asia,950627,yes,Street Fighter Zero,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfzar1,"Street Fighter Zero (AS, 950605)",Street Fighter Zero (Asia 950605),Asia,950605,yes,Street Fighter Zero,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfzb,"Street Fighter Zero (W, 951109)",Street Fighter Zero (Brazil 951109),World,951109,yes,Street Fighter Zero,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfzbch,"Street Fighter Zero (BR, CPS Changer, 950727)","Street Fighter Zero -CPS Changer, Brazil 950727-",Brazil,"CPS Changer, 950727",yes,Street Fighter Zero,Capcom CPS-1,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sfzbr1,"Street Fighter Zero (W, 950727)",Street Fighter Zero (Brazil 950727),World,950727,yes,Street Fighter Zero,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfzch,"Street Fighter Zero (JP, CPS Changer, 951020)","Street Fighter Zero -CPS Changer, Japan 951020-",Japan,"CPS Changer, 951020",yes,Street Fighter Zero,Capcom CPS-1,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sfzch_cps15,Street Fighter Zero (CPS 1.5 Qsound) [hb],Street Fighter Zero CPS 1.5 - HBMame,,CPS 1.5 Qsound,yes,Street Fighter Zero,Capcom CPS-1.5,Street Fighter,yes,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sfzh,"Street Fighter Zero (HS, 950718)",Street Fighter Zero (Hispanic 950718),Hispanic,950718,yes,Street Fighter Zero,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfzhr1,"Street Fighter Zero (HS, 950627)",Street Fighter Zero (Hispanic 950627),Hispanic,950627,yes,Street Fighter Zero,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfzj,"Street Fighter Zero (JP, 950727, Unlocked)",Street Fighter Zero (Japan 950727) [Unlocked],Japan,"950727, Unlocked",yes,Street Fighter Zero,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfzj,"Street Fighter Zero (JP, 950727)",Street Fighter Zero (Japan 950727),Japan,950727,yes,Street Fighter Zero,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfzjr1,"Street Fighter Zero (JP, 950627)",Street Fighter Zero (Japan 950627),Japan,950627,yes,Street Fighter Zero,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfzjr2,"Street Fighter Zero (JP, 950605)",Street Fighter Zero (Japan 950605),Japan,950605,yes,Street Fighter Zero,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sgemf,"Super Gem Fighter- Mini Mix (US, 970904)",Super Gem Fighter Mini Mix (USA 970904),USA,970904,no,,Capcom CPS-2,Street Fighter,no,no,1997,Capcom,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,3
sgemfa,"Super Gem Fighter- Mini Mix (AS, 970904)",Super Gem Fighter Mini Mix (Asia 970904),Asia,970904,yes,Super Gem Fighter- Mini Mix,Capcom CPS-2,Street Fighter,no,no,1997,Capcom,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,3
sgemfh,"Super Gem Fighter- Mini Mix (HS, 970904)",Super Gem Fighter Mini Mix (Hispanic 970904),Hispanic,970904,yes,Super Gem Fighter- Mini Mix,Capcom CPS-2,Street Fighter,no,no,1997,Capcom,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,3
shinobi,"Shinobi (W, S16B Set 5)","Shinobi (set 5, System 16B) (unprotected)",World,"S16B, Set 5",yes,Shinobi,Sega System 16B,Shinobi,no,no,1987,Sega,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,3
shinobi,"Shinobi (W, Set 6)","Shinobi (Set 6, World, S16A) [No Protection]",World,"Set 6, No Protection",no,,Sega System 16A,Shinobi,no,no,1987,Sega,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,3
shinobi1,"Shinobi (W, S16B Set 1)","Shinobi (Set 1, World, S16A) [FD1094 317-0050]",World,"S16B, Set 1",yes,Shinobi,Sega System 16B,Shinobi,no,no,1987,Sega,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,3
shinobi2,"Shinobi (W, S16B Set 2)","Shinobi (set 2, System 16B) (FD1094 317-0049)",World,"S16B, Set 2",yes,Shinobi,Sega System 16B,Shinobi,no,no,1987,Sega,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,3
shinobi6,"Shinobi (W, S16B Set 6)","Shinobi (set 6, System 16B) (unprotected)",World,"S16B, Set 6",yes,Shinobi,Sega System 16B,Shinobi,no,no,1987,Sega,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,3
sidearms,"Side Arms- Hyper Dyne (W, 861129)","Side Arms - Hyper Dyne (World, 861129)",World,861129,no,,,,no,no,1986,Capcom,Shooter - Horizontal,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
sidearmsj,"Side Arms- Hyper Dyne (JP, 861128)","Side Arms - Hyper Dyne (Japan, 861128)",Japan,861128,yes,Side Arms,,,no,no,1986,Capcom,Shooter - Horizontal,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
sidearmsu,"Side Arms- Hyper Dyne (US, 861202)","Side Arms - Hyper Dyne (US, 861202)",USA,861202,yes,Side Arms,,,no,no,1986,Capcom,Shooter - Horizontal,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
sidearmsur1,"Side Arms- Hyper Dyne (US, 861128)","Side Arms - Hyper Dyne (US, 861128)",USA,861128,yes,Side Arms,,,no,no,1986,Capcom,Shooter - Horizontal,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
slammast,"Saturday Night Slam Masters (W, 930713)",Saturday Night Slam Masters (World 930713),World,930713,no,,Capcom CPS-1.5,Slam Masters,no,no,1993,Capcom,Sports,,15kHz,horizontal,n/a,,4,8-way,,3
slammastu,"Saturday Night Slam Masters (US, 930713)",Saturday Night Slam Masters (USA 930713),USA,930713,yes,Slam Masters,Capcom CPS-1.5,Slam Masters,no,no,1993,Capcom,Sports,,15kHz,horizontal,n/a,,4,8-way,,3
smbomb,"Super Muscle Bomber- The International Blowout (JP, 940831)",Super Muscle Bomber The International Blowout (Japan 940831),Japan,940831,no,,Capcom CPS-2,Muscle Bomber,no,no,1994,Capcom,Sports,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
smbombr1,"Super Muscle Bomber- The International Blowout (JP, 940808)",Super Muscle Bomber The International Blowout (Japan 940808),Japan,940808,yes,Super Muscle Bomber- The International Blowout,Capcom CPS-2,Muscle Bomber,no,no,1994,Capcom,Sports,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
spf2t,"Super Puzzle Fighter II Turbo (EU, 960529)",Super Puzzle Fighter II Turbo (Euro 960529),Europe,960529,no,,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,2
spf2ta,"Super Puzzle Fighter II Turbo (AS, 960529)",Super Puzzle Fighter II Turbo (Asia 960529),Asia,960529,yes,Super Puzzle Fighter II Turbo,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,2
spf2th,"Super Puzzle Fighter II Turbo (HS, 960531)",Super Puzzle Fighter II Turbo (Hispanic 960531),Hispanic,960531,yes,Super Puzzle Fighter II Turbo,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,2
spf2tu,"Super Puzzle Fighter II Turbo (US, 960620)",Super Puzzle Fighter II Turbo (USA 960620),USA,960620,yes,Super Puzzle Fighter II Turbo,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,2
spf2xj,"Super Puzzle Fighter II X (JP, 960531)",Super Puzzle Fighter II X (Japan 960531),Japan,960531,yes,Super Puzzle Fighter II Turbo,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,2
ssf2,"Super Street Fighter II- The New Challengers (W, 931005)",Super Street Fighter II The New Challengers (World 931005),World,931005,no,,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2a,"Super Street Fighter II- The New Challengers (AS, 931005)",Super Street Fighter II The New Challengers (Asia 931005),Asia,931005,yes,Super Street Fighter II- The New Challengers,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2ar1,"Super Street Fighter II- The New Challengers (AS, 930914)",Super Street Fighter II The New Challengers (Asia 930914),Asia,930914,yes,Super Street Fighter II- The New Challengers,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2h,"Super Street Fighter II- The New Challengers (HS, 930911)",Super Street Fighter II The New Challengers (Hispanic 930911),Hispanic,930911,yes,Super Street Fighter II- The New Challengers,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2j,"Super Street Fighter II- The New Challengers (JP, 931005)",Super Street Fighter II The New Challengers (Japan 931005),Japan,931005,yes,Super Street Fighter II- The New Challengers,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2jr1,"Super Street Fighter II- The New Challengers (JP, 930911)",Super Street Fighter II The New Challengers (Japan 930911),Japan,930911,yes,Super Street Fighter II- The New Challengers,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2jr2,"Super Street Fighter II- The New Challengers (JP, 930910)",Super Street Fighter II The New Challengers (Japan 930910),Japan,930910,yes,Super Street Fighter II- The New Challengers,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2r1,"Super Street Fighter II- The New Challengers (W, 930911)",Super Street Fighter II The New Challengers (World 930911),World,930911,yes,Super Street Fighter II- The New Challengers,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2t,"Super Street Fighter II Turbo (W, 940223)",Super Street Fighter II Turbo (World 940223),World,940223,no,,Capcom CPS-2,Street Fighter,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2ta,"Super Street Fighter II Turbo (AS, 940223, Training Edition) [hb]",Super Street Fighter II Turbo (Asia 940223) [Training Edition],Asia,"940223, Training Edition",yes,Super Street Fighter II Turbo,Capcom CPS-2,Street Fighter,yes,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2ta,"Super Street Fighter II Turbo (AS, 940223)",Super Street Fighter II Turbo (Asia 940223),Asia,940223,yes,Super Street Fighter II Turbo,Capcom CPS-2,Street Fighter,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2tb,"Super Street Fighter II- The Tournament Battle (W, 931119)",Super Street Fighter II The Tournament Battle (World 931119),World,931119,no,,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2tba,"Super Street Fighter II- The Tournament Battle (AS, 931005)",Super Street Fighter II The Tournament Battle (Asia 931005),Asia,931005,yes,Super Street Fighter II- The Tournament Battle,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2tbh,"Super Street Fighter II- The Tournament Battle (HS, 931005)",Super Street Fighter II The Tournament Battle (Hispanic 931005),Hispanic,931005,yes,Super Street Fighter II- The Tournament Battle,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2tbj,"Super Street Fighter II- The Tournament Battle (JP, 931005)",Super Street Fighter II The Tournament Battle (Japan 931005),Japan,931005,yes,Super Street Fighter II- The Tournament Battle,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2tbj1,"Super Street Fighter II- The Tournament Battle (JP, 930911)",Super Street Fighter II The Tournament Battle (Japan 930911),Japan,930911,yes,Super Street Fighter II- The Tournament Battle,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2tbr1,"Super Street Fighter II- The Tournament Battle (W, 930911)",Super Street Fighter II The Tournament Battle (World 930911),World,930911,yes,Super Street Fighter II- The Tournament Battle,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2tbu,"Super Street Fighter II- The Tournament Battle (US, 930911)",Super Street Fighter II The Tournament Battle (USA 930911),USA,930911,yes,Super Street Fighter II- The Tournament Battle,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2th,"Super Street Fighter II Turbo (HS, 940223)",Super Street Fighter II Turbo (Hispanic 940223),Hispanic,940223,yes,Super Street Fighter II Turbo,Capcom CPS-2,Street Fighter,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2tnl,"Super Street Fighter II Turbo (W, New Legacy v0.4)",Super Street Fighter II The New Legacy [Beta 0.4],World,New Legacy v0.4,yes,Super Street Fighter II Turbo,Capcom CPS-2,Street Fighter,no,no,2020,Capcom,Fighting,,15kHz,Horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2tu,"Super Street Fighter II Turbo (US, 940223)",Super Street Fighter II Turbo (USA 940323),USA,940223,yes,Super Street Fighter II Turbo,Capcom CPS-2,Street Fighter,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2tur1,"Super Street Fighter II Turbo (US, 940223)",Super Street Fighter II Turbo (USA 940223),USA,940223,yes,Super Street Fighter II Turbo,Capcom CPS-2,Street Fighter,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2u,"Super Street Fighter II- The New Challengers (US, 930911)",Super Street Fighter II The New Challengers (USA 930911),USA,930911,yes,Super Street Fighter II- The New Challengers,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2xj,"Super Street Fighter II X- Grand Master Challenge (JP, 940311)",Super Street Fighter II X Grand Master Challenge (Japan 940311) [Free Play],Japan,940311,no,,Capcom CPS-2,Street Fighter,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2xj,"Super Street Fighter II X- Grand Master Challenge (JP, 940311)",Super Street Fighter II X Grand Master Challenge (Japan 940311),Japan,940311,yes,Super Street Fighter II X- Grand Master Challenge,Capcom CPS-2,Street Fighter,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2xjr1,"Super Street Fighter II X- Grand Master Challenge (JP, 940223)",Super Street Fighter II X Grand Master Challenge (Japan 940223) [Free Play],Japan,940223,yes,Super Street Fighter II X- Grand Master Challenge,Capcom CPS-2,Street Fighter,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2xjr1,"Super Street Fighter II X- Grand Master Challenge (JP, 940223)",Super Street Fighter II X Grand Master Challenge (Japan 940223),Japan,940223,yes,Super Street Fighter II X- Grand Master Challenge,Capcom CPS-2,Street Fighter,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2xjr1r,"Super Street Fighter II X- Grand Master Challenge (JP, 940223)",Super Street Fighter II X Grand Master Challenge (Japan 940223 rent version),Japan,940223,yes,Super Street Fighter II X- Grand Master Challenge,Capcom CPS-2,Street Fighter,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
strider,"Strider (US, B-Board, 89624B-2)","Strider -USA, B-Board 89624B-2-",USA,"B-Board, 89624B-2",no,,Capcom CPS-1,Strider,no,no,1989,Capcom,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,3
striderj,Strider Hiryu (JP),Strider Hiryu -Japan-,Japan,,yes,Strider,Capcom CPS-1,Strider,no,no,1989,Capcom,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,3
striderjr,"Strider Hiryu (JP, Resale)",Strider Hiryu -Japan Resale Ver.-,Japan,Resale,yes,Strider,Capcom CPS-1,Strider,no,no,1989,Capcom,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,3
striderua,"Strider (US, B-Board, 89624B-3)","Strider -USA, B-Board 89624B-3-",USA,"B-Board, 89624B-3",yes,Strider,Capcom CPS-1,Strider,no,no,1989,Capcom,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,3
strideruc,"Strider (US, B-Board, 89624B-3)","Strider -USA, B-Board 90629B-3, buggy Street Fighter II conversion-",USA,"B-Board, 89624B-3",yes,Strider,Capcom CPS-1,Strider,no,no,1989,Capcom,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,3
tetris1,"Tetris (JP, Set 1)","Tetris (set 1, Japan, System 16B) (FD1094 317-0091)",Japan,Set 1,yes,Tetris,Sega System 16A,Tetris,no,no,1988,Sega,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
tetris2,"Tetris (JP, Set 2)","Tetris (set 2, Japan, System 16B) (FD1094 317-0092)",Japan,Set 2,yes,Tetris,Sega System 16A,Tetris,no,no,1988,Sega,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
